word_count,sentence_count,avg_words_per_sentence,hesitation_count,repeated_words,sentence_complete,clip_id,kmeans_cluster,anomaly_score,is_anomaly,PCA1,PCA2,risk_level
1.8656964381301795,2.0139959720120837,-1.0644503031012502,1.0,0.7777777777777779,0.0,clip_1,1,-1,1,3.0159725694476562,0.9487994458284646,High
0.6422889377169473,0.9539980920057239,-0.8730521766770653,1.0,-0.33333333333333315,0.0,clip_2,1,1,0,1.209426274364716,0.7151968636302943,Normal
0.6422889377169473,0.9539980920057239,-0.8730521766770653,-1.0,1.888888888888889,0.0,clip_3,1,1,0,2.0249004558095307,-1.1691080347415228,Normal
-0.2752666875929768,-1.1659976680069961,1.818051600877439,1.0,0.7777777777777779,0.0,clip_4,0,1,0,-1.2491610910304283,1.4144244928384413,Normal
-0.2752666875929768,-1.1659976680069961,1.818051600877439,1.0,-1.4444444444444442,0.0,clip_5,0,1,0,-2.2028043221347176,1.6540128689153337,Normal
0.6422889377169473,-0.1059997880006361,-0.026749617668922157,1.0,-0.33333333333333315,0.0,clip_6,1,1,0,0.2113552068696309,1.0926207512567598,Normal
0.03058518751033124,-0.1059997880006361,-0.2573497699872173,-1.0,0.7777777777777779,0.0,clip_7,1,1,0,0.339286046077148,-0.9974919900415551,Normal
-2.110377938212825,-1.1659976680069961,0.4344506869676681,-1.0,-1.4444444444444442,0.0,clip_8,0,-1,1,-2.6524605470832396,-1.2518547317501083,High
-0.5811185626962848,-0.1059997880006361,-0.48794992230551243,-1.0,-0.33333333333333315,0.0,clip_9,1,1,0,-0.34825729616014905,-1.2032998329680533,Normal
-0.5811185626962848,-0.1059997880006361,-0.48794992230551243,-1.0,-0.33333333333333315,0.0,clip_10,1,1,0,-0.34825729616014905,-1.2032998329680533,Normal
